Время,Теория,,,Материалы,,,,,Практика,,
,,,Dropout,https://colab.research.google.com/drive/1dPPpysxdJqQBUo8pgUYcmujzCge0HpHI#scrollTo=SHwT36C87ZNk,,,https://docs.google.com/presentation/d/1ZE21WSq7BOabn2Hz70_RugxCWUHUkirar5jhalqpZ8g/edit#slide=id.gb04cf3c473_0_34,,,,
,,,Batch & Layer Norm,https://colab.research.google.com/drive/1dPPpysxdJqQBUo8pgUYcmujzCge0HpHI#scrollTo=wLRapArc7ZM_,https://cs231n.github.io/neural-networks-2/#batchnorm,,,,,,
неделя 4,Визуальные данные,,,,,,,,,,
,,CNN,Свертки,https://github.com/EPC-MSU/EduNet-lectures/blob/dev-2.0/out/L06_CNN.ipynb,https://cs231n.github.io/convolutional-networks/,,https://docs.google.com/presentation/d/1THQa0ILp6UOJKkxlJ4U6iPDUhg9NMfd4wNg2iFmYia4/edit,https://www.youtube.com/watch?v=6w1mO90stc0&list=PL-KRBoUl__Zc5dYuItKv-64Wbfrq5tZkZ&index=2&t=5669s,,,
,,,Архитектуры,https://github.com/EPC-MSU/EduNet-lectures/blob/dev-2.0/out/L08_NN_architectures.ipynb,,,https://docs.google.com/presentation/d/1ArZq8AF1tSqUhiGlewEAwq3vy7sUsP1LaYbgTXc9cOE/edit,https://www.youtube.com/watch?v=6w1mO90stc0&list=PL-KRBoUl__Zc5dYuItKv-64Wbfrq5tZkZ&index=2&t=5669s,,,
,,,Global Average Pooling(GAP),,https://pytorch.org/docs/stable/generated/torch.nn.AdaptiveAvgPool2d.html,,https://docs.google.com/presentation/d/1ArZq8AF1tSqUhiGlewEAwq3vy7sUsP1LaYbgTXc9cOE/edit#slide=id.gad00070d7c_0_16,,,,
,,,TransferLearning,https://colab.research.google.com/drive/1pWb7tRbIDNGzazLKdCLCOEdRW3LW7uFv#scrollTo=jIjH8EOy05tA,,,,,,,
,,,OCR,,,https://github.com/tesseract-ocr/tesseract,,,,,
,,Инструменты,CVAT,https://github.com/cvat-ai/cvat,https://www.cvat.ai/,,,,,,
,,,WanDB,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/intro/Intro_to_Weights_%26_Biases.ipynb,https://wandb.ai/site,,,,,,
,,,Tensorboard,https://colab.research.google.com/drive/1257fyQw731FGE3dywS561_rIaBTGLfqB,https://pytorch.org/docs/stable/tensorboard.html,https://pytorch.org/tutorials/intermediate/tensorboard_tutorial.html,,,,,
,,,Визуализация,https://colab.research.google.com/drive/1Ii8mzZjbvnA_fsmNGkpCxwoZ8ID-78dk,,,,,,,
,,Transformers(ViT),,,,,,,,,
,,,Self-attention,,,,https://docs.google.com/presentation/d/13czWy6xBBsbheYRIvUeb_1spABkEDnJp6g7u7gZhAzY/edit,,,,
,,,ViT,https://colab.research.google.com/drive/1k8tEOTlVxsg9rK9Ey9a-ar_ZwGokYLGL,,,,,,,
,,,,,,,,,,,
неделя 5,Metric Leaning,,,,,,,,,,
,,Embeddings,,https://drive.google.com/file/d/1B6mSIVsPnYp_u3JirH57w7UdZKWY9nEg/view?usp=sharing,,,https://docs.google.com/presentation/d/1hkQWCthpHHALHxoa8KwVwAx71HrsLJwWbQwiwQu6PBY/edit,,,,
,,"PML: ArcFace, TripletLoss",,https://github.com/Gan4x4/ml_snippets/blob/main/Metric/Signs_sol_with_PML.ipynb,https://docs.google.com/presentation/d/1hkQWCthpHHALHxoa8KwVwAx71HrsLJwWbQwiwQu6PBY/edit#slide=id.g2a1a63d0de3_0_117,,,,,,
,,CLIP,,https://colab.research.google.com/drive/1I6a0l7ZkRR_2ByDO_emBHMhFFD6dWg9-#scrollTo=S_Kwiba69deY,,,,,,,
,,Autoencoders,,https://colab.research.google.com/drive/1geGdh0JIP8Lkfk6-SSmrQLzMDuCxFijd,,,https://docs.google.com/presentation/d/1zza_CdOaajkd4h8QMY0nLOy8yQOYSIjXphQ16OQVAWU/edit#slide=id.p,,,,
,,Hard example Mining (HEM),,,https://kevinmusgrave.github.io/pytorch-metric-learning/miners/#batchhardminer,,https://docs.google.com/presentation/d/1hkQWCthpHHALHxoa8KwVwAx71HrsLJwWbQwiwQu6PBY/edit#slide=id.g2a1a63d0de3_0_124,,,,
,,ANN,HSNW,,https://www.pinecone.io/learn/series/faiss/hnsw/,,,,,,
,,,FAISS,,https://www.pinecone.io/learn/series/faiss/faiss-tutorial/,,,,,,
,,,LHS,,https://www.pinecone.io/learn/series/faiss/locality-sensitive-hashing/,,,,,,
Неделя 6,Segmentation,,,,,,,,,,
,,Задача сегментации,,https://github.com/EPC-MSU/EduNet-lectures/blob/dev-2.0/out/L11_Segmentation_Detection.ipynb,,,https://docs.google.com/presentation/d/1Jh4oYLJ4-b_4cCTGeX_f8mgl-b-sQ2ujk2MslRjiJo4/edit,https://www.youtube.com/watch?v=Py9alzALD2k&list=PL-KRBoUl__Zc5dYuItKv-64Wbfrq5tZkZ&index=3,,,
,,Метрики,IoU & Dice,https://colab.research.google.com/drive/1YsQsXifAgixBW6jALbvBSio4coGPHUXm#scrollTo=A2DCjgn-9N1b,,,,,,,
,,,mAP,https://colab.research.google.com/drive/1YsQsXifAgixBW6jALbvBSio4coGPHUXm#scrollTo=sIVYHyF09N23,,,,,,,
,,Модели,SMP,https://colab.research.google.com/drive/1YsQsXifAgixBW6jALbvBSio4coGPHUXm#scrollTo=HN0D6Rjb9N1_,https://github.com/qubvel/segmentation_models.pytorch#architectures-,,,,,,
,,,"Unet, FCN",https://colab.research.google.com/drive/1YsQsXifAgixBW6jALbvBSio4coGPHUXm#scrollTo=5FxSRTXF9N17,,,,,,,
,,,DeepLab,https://colab.research.google.com/drive/1YsQsXifAgixBW6jALbvBSio4coGPHUXm#scrollTo=JE8PMjFD9N19,,,https://docs.google.com/presentation/d/1Jh4oYLJ4-b_4cCTGeX_f8mgl-b-sQ2ujk2MslRjiJo4/edit,,,,
,,,SWIN,https://colab.research.google.com/drive/1YsQsXifAgixBW6jALbvBSio4coGPHUXm#scrollTo=DmSJSUkU9N2W,,,,,,,
,,,SAM,https://colab.research.google.com/drive/1YsQsXifAgixBW6jALbvBSio4coGPHUXm#scrollTo=O3fBmyfL9N2q,,,,,,,
Неделя 7,Detection,,,https://github.com/EPC-MSU/EduNet-lectures/blob/dev-2.0/out/L11_Segmentation_Detection.ipynb,,,https://docs.google.com/presentation/d/1Qnh38B77ua7mVGvF02stkutKuRMpUxZ_rykKb04GYvw/edit,https://www.youtube.com/watch?v=Py9alzALD2k&list=PL-KRBoUl__Zc5dYuItKv-64Wbfrq5tZkZ&index=3,,,
,,YOLO,,,,,,,,,
,,,Версии YOLO,https://colab.research.google.com/drive/1GWizPqYAZcYEn3yTvTSJsTzLBhVKjjza,,,,,,,
,,,формат разметки YOLO,,https://docs.ultralytics.com/ru/datasets/detect/#ultralytics-yolo-format,,,,,,
,,,Multi-head networks,,https://stackoverflow.com/questions/56004483/what-is-a-multi-headed-model-and-what-exactly-is-a-head-in-a-model,,,,,,
,,,R-CNN,https://colab.research.google.com/drive/1GWizPqYAZcYEn3yTvTSJsTzLBhVKjjza,,,,,,,
,,,DETR,https://huggingface.co/docs/transformers/en/model_doc/detr,,,,,,,
,,,OWL-ViT,https://colab.research.google.com/drive/1YsQsXifAgixBW6jALbvBSio4coGPHUXm#scrollTo=MrX4SMpH9N2l,,,,,,,
,Depth estimation,,,,,,,,,,
,,Metrics,,,,,,,,,
